session,root,project,start_utc,end_utc,duration_h,boundaries,boundaries_per_hour,max_boundaries_per_60min
c5092014,.claude,836f02a64def,2026-09-01T17:22:23.788Z,2026-09-02T19:53:36.386Z,26.52,50,1.885,6
cf83c295,.claude,59d3b5bc76fa,2026-09-02T17:06:30.369Z,2026-09-04T00:31:45.388Z,31.421,45,1.432,7
557c3f1e,.claude,8d092f837947,2026-09-04T18:12:25.718Z,2026-09-05T08:10:42.032Z,13.971,43,3.078,7
fbfe3f5a,.claude1,976d48bcc155,2026-08-30T21:10:10.382Z,2026-08-31T10:17:34.589Z,13.123,43,3.277,5
710e46ff,.claude,59d3b5bc76fa,2026-08-18T00:17:29.596Z,2026-08-19T00:37:01.604Z,24.326,40,1.644,4
c0d78e37,.claude,4ac450b4ed3f,2026-09-05T02:54:10.271Z,2026-09-07T14:38:08.803Z,59.733,39,0.653,7
53c030c1,.claude,6bda67209146,2026-09-13T15:25:17.873Z,2026-09-14T20:03:43.957Z,28.641,38,1.327,16
ece4e6a6,.claude,0aa75aebe3a2,2026-08-21T04:47:54.222Z,2026-08-21T14:17:12.734Z,9.488,35,3.689,5
87a6a98c,.claude,002a795d481e,2026-09-01T01:49:07.921Z,2026-09-02T01:15:44.193Z,23.443,33,1.408,5
9f1d65f9,.claude,e64b72ec968a,2026-09-11T15:46:16.962Z,2026-09-14T20:41:44.072Z,76.924,32,0.416,12
d6f0358e,.claude,e754e5c140ea,2026-09-05T15:33:43.325Z,2026-09-06T02:52:35.918Z,11.315,32,2.828,7
6a3a32e4,.claude,b4acab906c39,2026-09-05T23:14:49.988Z,2026-09-06T15:01:16.269Z,15.774,32,2.029,8
d40b1ca1,.claude,39aad9b99d36,2026-09-02T01:26:50.380Z,2026-09-02T20:48:29.683Z,19.361,32,1.653,6
fcddddeb,.claude,1b9ce613625d,2026-08-25T02:42:40.438Z,2026-08-26T04:39:59.137Z,25.955,32,1.233,4
38d7376c,.claude,a63e575cd2e2,2026-08-27T17:06:48.090Z,2026-08-28T01:56:02.632Z,8.821,32,3.628,6
995e65d2,.claude1,521d57357fe3,2026-09-01T17:02:16.679Z,2026-09-02T03:46:55.120Z,10.744,31,2.885,6
60c40c58,.claude,1fcbf4a1fd97,2026-08-19T20:06:27.541Z,2026-08-20T15:42:53.029Z,19.607,30,1.53,5
b32bfaea,.claude,ff1a9d263ef8,2026-09-11T16:46:04.042Z,2026-09-14T19:54:58.604Z,75.148,29,0.386,12
b8a74f05,.claude,da4c1e271e3f,2026-08-29T17:15:52.392Z,2026-08-30T01:14:36.851Z,7.979,29,3.635,5
0bec8d17,.claude,329d164017b2,2026-09-02T20:10:49.776Z,2026-09-04T00:31:45.051Z,28.349,29,1.023,5
4c1433d7,.claude,ae8988d729de,2026-09-08T20:21:18.513Z,2026-09-09T06:01:59.771Z,9.678,28,2.893,8
84015419,.claude1,31ff9f1987db,2026-09-02T22:11:03.059Z,2026-09-03T04:55:40.117Z,6.744,28,4.152,6
7a8f0345,.claude,a63e575cd2e2,2026-08-28T01:56:01.721Z,2026-08-28T09:31:19.762Z,7.588,28,3.69,7
e1f670a2,.claude1,734de31acd1f,2026-08-28T21:18:08.933Z,2026-08-30T22:59:10.170Z,49.684,27,0.543,5
d558ee9a,.claude,1b9ce613625d,2026-08-26T04:34:25.232Z,2026-08-26T15:07:27.503Z,10.551,27,2.559,5
4f69d962,.claude,57b239003a31,2026-09-10T23:35:04.607Z,2026-09-11T15:52:01.785Z,16.283,26,1.597,7
d9b3733b,.claude,8f1006845629,2026-09-05T15:08:58.481Z,2026-09-06T00:33:57.648Z,9.416,25,2.655,8
ef6bc042,.claude,c49979462828,2026-09-04T07:31:47.792Z,2026-09-04T12:59:58.577Z,5.47,25,4.571,8
da022be6,.claude,a63e575cd2e2,2026-08-26T09:03:42.826Z,2026-08-26T15:59:40.036Z,6.933,25,3.606,5
dd942ff0,.claude1,d544ed64c363,2026-09-02T16:47:15.084Z,2026-09-03T01:17:43.464Z,8.508,23,2.703,5
d2ff0c06,.claude,3a27bb0d3efb,2026-09-09T16:36:27.825Z,2026-09-10T02:53:59.133Z,10.292,22,2.138,6
871a7097,.claude,a63e575cd2e2,2026-08-26T02:56:11.622Z,2026-08-26T14:59:51.097Z,12.061,22,1.824,5
fb78c71c,.claude,9657f71ef64b,2026-08-29T16:47:16.176Z,2026-08-29T21:32:02.258Z,4.746,22,4.635,6
b4cef389,.claude1,930bd1c0cc9a,2026-09-07T19:48:28.675Z,2026-09-10T00:48:09.827Z,52.995,21,0.396,6
49d8b247,.claude,b07c629aca47,2026-09-05T14:07:58.337Z,2026-09-07T14:38:10.257Z,48.503,20,0.412,6
85cc8f4c,.claude,59d3b5bc76fa,2026-08-17T16:11:33.242Z,2026-08-18T23:28:40.844Z,31.285,20,0.639,4
c515fa1a,.claude1,29cd3ddd534c,2026-08-28T11:21:09.672Z,2026-08-28T16:42:02.370Z,5.348,20,3.74,5
6295b08c,.claude,a63e575cd2e2,2026-08-28T09:31:16.352Z,2026-08-29T00:52:39.117Z,15.356,20,1.302,5
4faf5811,.claude,2faee9859aad,2026-09-10T00:11:16.736Z,2026-09-10T20:07:16.036Z,19.933,19,0.953,7
7837a89d,.claude,181fab7207e1,2026-09-04T14:23:59.312Z,2026-09-04T19:58:49.405Z,5.581,19,3.405,6
4310ebf3,.claude,c1c757e0d4ab,2026-09-10T23:35:01.143Z,2026-09-11T15:03:59.810Z,15.483,19,1.227,7
1f4cd0eb,.claude1,fe9031120322,2026-09-07T20:11:08.691Z,2026-09-10T02:50:03.228Z,54.648,19,0.348,5
fa520b1f,.claude,64d49abd3d8e,2026-08-26T19:38:40.179Z,2026-08-29T00:52:39.159Z,53.233,19,0.357,4
cdf6d841,.claude1,6878634ccb46,2026-08-29T15:51:29.900Z,2026-08-30T02:56:33.828Z,11.084,19,1.714,6
9896866a,.claude,a63e575cd2e2,2026-08-27T00:31:40.549Z,2026-08-27T17:06:49.261Z,16.586,19,1.146,6
ee921bdd,.claude1,6878634ccb46,2026-08-28T02:26:00.894Z,2026-08-28T07:36:12.692Z,5.17,18,3.482,4
e50ffb43,.claude1,6878634ccb46,2026-08-28T16:19:56.248Z,2026-08-28T23:01:10.558Z,6.687,18,2.692,4
d3451398,.claude,0aa75aebe3a2,2026-08-21T00:42:53.192Z,2026-08-21T15:04:04.652Z,14.353,18,1.254,5
25ace456,.claude,fd3b8661c9b1,2026-08-21T02:19:08.068Z,2026-08-21T12:08:15.571Z,9.819,18,1.833,6
e0e8e790,.claude,836f02a64def,2026-09-02T20:44:01.900Z,2026-09-03T04:15:41.504Z,7.528,18,2.391,6
133fb212,.claude,11094478addf,2026-09-04T20:32:10.073Z,2026-09-05T02:08:51.335Z,5.611,17,3.03,5
231c367c,.claude,efd9e0da810c,2026-09-09T22:59:06.312Z,2026-09-10T22:42:01.518Z,23.715,17,0.717,5
f07d3377,.claude,eca84b3a7007,2026-09-04T21:02:09.289Z,2026-09-05T01:51:51.770Z,4.828,17,3.521,7
8e1d40dd,.claude,65eb405e8f6d,2026-09-04T23:40:17.961Z,2026-09-05T07:04:36.873Z,7.405,17,2.296,6
00b19707,.claude1,c4b4fc587af3,2026-09-07T19:49:05.976Z,2026-09-10T00:22:41.187Z,52.56,17,0.323,4
9d225df9,.claude,00894aa8444e,2026-08-21T10:17:50.027Z,2026-08-21T16:07:37.639Z,5.83,17,2.916,4
7d805d95,.claude,2e59615db516,2026-09-11T22:35:37.210Z,2026-09-14T19:53:25.437Z,69.297,16,0.231,9
6a29151b,.claude,fd3b8661c9b1,2026-08-21T12:04:19.453Z,2026-08-21T16:07:19.793Z,4.05,16,3.951,6
89e10c7c,.claude,59d3b5bc76fa,2026-08-20T14:50:06.694Z,2026-08-21T01:39:48.292Z,10.828,16,1.478,5
dbfc10f1,.claude,9657f71ef64b,2026-08-29T21:32:01.475Z,2026-08-30T03:22:32.139Z,5.842,16,2.739,4
570cd25a,.claude,0aa75aebe3a2,2026-08-21T17:52:34.203Z,2026-08-21T22:33:23.051Z,4.68,16,3.419,5
14b44323,.claude,7c2c62fbd071,2026-09-03T16:13:44.380Z,2026-09-03T22:48:01.042Z,6.571,16,2.435,7
becc6a13,.claude1,e2280cc16a21,2026-09-07T19:51:34.720Z,2026-09-10T00:33:11.220Z,52.693,15,0.285,4
842085ef,.claude,0aa75aebe3a2,2026-08-21T22:25:56.387Z,2026-08-22T03:32:24.196Z,5.108,15,2.937,6
bc47f81c,.claude,59d3b5bc76fa,2026-08-21T23:45:13.672Z,2026-08-25T02:15:28.283Z,74.504,15,0.201,3
ffa0f548,.claude,4657980fde23,2026-08-28T21:13:17.490Z,2026-08-29T01:13:37.075Z,4.005,15,3.745,5
0866dddd,.claude,14d916babe14,2026-08-24T21:31:42.511Z,2026-08-25T02:13:25.788Z,4.695,15,3.195,5
9ed1b27b,.claude,26142b2b17f4,2026-09-03T01:59:08.072Z,2026-09-04T02:13:21.903Z,24.237,14,0.578,4
37f92f7e,.claude,fd3b8661c9b1,2026-08-21T16:31:07.088Z,2026-08-21T22:35:02.025Z,6.065,14,2.308,4
c582f221,.claude,59d3b5bc76fa,2026-08-22T17:09:06.583Z,2026-08-23T18:10:56.551Z,25.031,14,0.559,3
ddb9856b,.claude,11e0a7783174,2026-09-02T20:17:02.648Z,2026-09-03T03:09:31.279Z,6.875,14,2.036,6
89b00f69,.claude,9d2194b11c84,2026-09-04T14:23:09.286Z,2026-09-04T23:49:36.131Z,9.441,13,1.377,4
7ab7b236,.claude1,946a824485cf,2026-09-10T14:11:48.220Z,2026-09-11T15:38:38.868Z,25.447,13,0.511,6
7c37bd93,.claude,6cd55839f38a,2026-09-04T20:03:35.415Z,2026-09-05T01:35:49.636Z,5.537,13,2.348,6
78e58e77,.claude,e367ce20a079,2026-09-07T15:07:55.864Z,2026-09-07T18:52:50.865Z,3.749,13,3.468,8
8220f7f3,.claude,ef5956877731,2026-09-10T23:34:57.860Z,2026-09-11T14:10:27.066Z,14.591,13,0.891,4
1ee316fe,.claude,2c7cf3a31dd5,2026-09-02T14:35:38.157Z,2026-09-03T01:24:03.577Z,10.807,13,1.203,5
ca0bc7d7,.claude,edd9b8ba0520,2026-09-02T14:36:27.349Z,2026-09-03T01:24:03.640Z,10.793,13,1.204,5
0041d360,.claude,6cd55839f38a,2026-09-04T02:09:49.763Z,2026-09-04T15:51:17.864Z,13.691,12,0.876,5
4be4b477,.claude1,ff2abb2c03a8,2026-09-07T19:47:19.593Z,2026-09-10T00:58:48.129Z,53.191,12,0.226,5
9a5286a0,.claude1,fde1c0e0dfef,2026-09-07T20:11:19.667Z,2026-09-08T02:37:07.893Z,6.43,12,1.866,4
ce58b943,.claude,9edfb6645e7b,2026-08-31T01:19:02.727Z,2026-09-01T03:19:40.063Z,26.01,12,0.461,5
8f03e5ac,.claude1,d4a4e9b09e47,2026-08-27T16:43:13.904Z,2026-08-27T21:09:00.983Z,4.43,12,2.709,4
ad7cbca7,.claude,00894aa8444e,2026-08-20T00:57:34.738Z,2026-08-20T14:56:00.482Z,13.974,12,0.859,4
6ba701dd,.claude,54ca74b41d6f,2026-08-31T04:39:05.476Z,2026-09-01T19:27:45.680Z,38.811,12,0.309,3
6e7982c5,.claude,59d3b5bc76fa,2026-08-22T00:10:41.510Z,2026-08-22T03:34:21.405Z,3.394,12,3.535,5
3a1c6e3f,.claude,59d3b5bc76fa,2026-08-31T02:06:53.845Z,2026-08-31T18:00:28.039Z,15.893,12,0.755,4
cb351da9,.claude,59d3b5bc76fa,2026-08-21T16:15:18.318Z,2026-08-21T22:07:02.205Z,5.862,11,1.876,3
a4c32893,.claude,3c5b83e57fb6,2026-08-21T16:59:13.700Z,2026-08-21T21:37:29.530Z,4.638,11,2.372,4
2346cc44,.claude,00894aa8444e,2026-08-21T03:09:56.354Z,2026-08-21T17:40:01.906Z,14.502,11,0.759,4
39879268,.claude,0aa75aebe3a2,2026-08-20T21:29:57.101Z,2026-08-21T11:57:25.444Z,14.458,11,0.761,4
e1b19550,.claude,00894aa8444e,2026-08-21T07:18:35.063Z,2026-08-21T16:07:36.633Z,8.817,11,1.248,4
651ccf7c,.claude,a9087213520e,2026-08-26T06:42:46.214Z,2026-08-26T14:59:51.426Z,8.285,11,1.328,5
72ab5a90,.claude,a63e575cd2e2,2026-08-26T16:18:14.654Z,2026-08-26T19:39:25.402Z,3.353,11,3.281,5
1ae0971e,.claude,59d3b5bc76fa,2026-08-26T21:43:02.581Z,2026-08-27T01:05:56.059Z,3.382,11,3.253,4
678c08ee,.claude,55d4af7f07d4,2026-09-13T20:50:12.500Z,2026-09-14T22:00:18.163Z,25.168,10,0.397,6
805f146d,.claude1,14b1bff8a1f9,2026-08-30T19:23:16.733Z,2026-08-31T02:10:27.980Z,6.786,10,1.474,3
4db2b8f0,.claude1,734de31acd1f,2026-08-28T17:13:43.725Z,2026-08-28T20:50:52.102Z,3.619,10,2.763,4
c4d015d1,.claude,424e5fae5f65,2026-09-02T14:39:29.190Z,2026-09-03T01:24:04.392Z,10.743,10,0.931,5
7ca87723,.claude1,6878634ccb46,2026-08-27T15:20:41.481Z,2026-08-27T17:47:56.419Z,2.454,10,4.075,5
29ac6fad,.claude,cbd6a564501d,2026-08-21T16:38:23.961Z,2026-08-21T20:28:39.702Z,3.838,10,2.606,4
2bc828a9,.claude,9eb37be13c27,2026-08-21T23:53:55.991Z,2026-08-22T03:30:52.513Z,3.616,10,2.766,4
9ecb9814,.claude1,6878634ccb46,2026-08-27T20:59:11.989Z,2026-08-27T23:22:39.531Z,2.391,10,4.182,6
d6d4857c,.claude,00894aa8444e,2026-08-21T17:42:12.414Z,2026-08-22T00:53:30.084Z,7.188,10,1.391,5
f96b6fba,.claude,59d3b5bc76fa,2026-08-29T01:50:13.603Z,2026-08-30T03:04:57.019Z,25.245,10,0.396,5
bad920af,.claude,1b9ce613625d,2026-08-26T23:25:18.353Z,2026-08-27T03:54:06.847Z,4.48,10,2.232,4
9cc619f6,.claude,59d3b5bc76fa,2026-08-28T15:36:43.455Z,2026-08-28T19:54:07.053Z,4.29,10,2.331,5
4c9908f4,.claude,59d3b5bc76fa,2026-08-19T13:34:19.697Z,2026-08-19T19:41:47.763Z,6.124,9,1.47,5
eeabf91c,.claude,cbd6a564501d,2026-08-21T23:54:09.603Z,2026-08-22T03:23:02.798Z,3.481,9,2.585,4
5c50681a,.claude,59d3b5bc76fa,2026-08-27T16:05:28.168Z,2026-08-29T00:52:38.960Z,32.786,9,0.275,3
54434d30,.claude,9657f71ef64b,2026-08-29T02:38:23.416Z,2026-08-29T16:47:17.002Z,14.148,9,0.636,4
01c496eb,.claude,59d3b5bc76fa,2026-08-26T02:34:09.747Z,2026-08-26T19:55:12.440Z,17.351,9,0.519,4
eb0dbe28,.claude,cbd6a564501d,2026-08-26T12:53:02.701Z,2026-08-26T15:45:39.190Z,2.877,9,3.128,5
c33dc1bc,.claude,ae8988d729de,2026-09-09T06:02:04.425Z,2026-09-09T09:34:11.477Z,3.535,8,2.263,4
b96baeb4,.claude1,d4a4e9b09e47,2026-08-27T02:44:10.958Z,2026-08-27T20:46:42.457Z,18.042,8,0.443,4
927dbde9,.claude,bf7d0894f1f6,2026-08-30T18:16:19.040Z,2026-08-31T02:36:41.508Z,8.34,8,0.959,4
242a588e,.claude,59d3b5bc76fa,2026-08-18T22:43:33.842Z,2026-08-19T13:35:41.633Z,14.869,8,0.538,4
7cd44110,.claude,00894aa8444e,2026-08-19T19:41:03.782Z,2026-08-20T01:52:28.995Z,6.19,8,1.292,4
d3e5754a,.claude,cf05c8e17c0d,2026-08-27T04:05:43.598Z,2026-08-27T17:49:49.706Z,13.735,8,0.582,5
d84458d2,.claude,59d3b5bc76fa,2026-08-30T07:15:29.929Z,2026-08-30T13:56:46.901Z,6.688,8,1.196,2
f43d4624,.claude,51e028bfc1e8,2026-08-22T00:08:09.371Z,2026-08-22T03:31:34.576Z,3.39,8,2.36,4
845bc232,.claude,cbd6a564501d,2026-08-26T11:10:43.460Z,2026-08-26T14:59:50.915Z,3.819,8,2.095,6
b17a1e22,.claude,a03124262d59,2026-09-11T14:21:35.931Z,2026-09-11T16:20:42.135Z,1.985,7,3.526,4
1decde40,.claude1,b0d9f182257f,2026-08-30T21:09:29.314Z,2026-08-30T23:48:46.848Z,2.655,7,2.637,4
2f2727f8,.claude1,d7e17ad1cb8c,2026-08-31T14:51:32.989Z,2026-08-31T17:54:24.597Z,3.048,7,2.297,5
cc9b03bb,.claude1,734de31acd1f,2026-08-29T17:39:56.392Z,2026-08-29T21:43:02.601Z,4.052,7,1.728,3
87339361,.claude1,6878634ccb46,2026-08-29T00:50:33.138Z,2026-08-29T03:06:08.707Z,2.26,7,3.098,4
dda3b155,.claude,0aa75aebe3a2,2026-08-21T14:00:26.408Z,2026-08-21T16:07:33.565Z,2.119,7,3.304,5
27956762,.claude,da4c1e271e3f,2026-08-28T22:26:54.477Z,2026-08-29T00:31:19.951Z,2.074,7,3.376,5
bef68d61,.claude,2a43a9e64eea,2026-09-01T20:43:34.333Z,2026-09-01T23:29:07.757Z,2.759,7,2.537,4
804f5d2f,.claude,59d3b5bc76fa,2026-08-30T01:52:48.018Z,2026-09-01T03:20:37.862Z,49.464,7,0.142,3
bdeedbf4,.claude,59d3b5bc76fa,2026-08-28T01:58:46.651Z,2026-08-28T04:18:16.456Z,2.325,7,3.011,5
4829c50a,.claude,61d60162670e,2026-09-02T22:16:26.259Z,2026-09-03T16:29:35.886Z,18.219,7,0.384,2
7c63352e,.claude,da4c1e271e3f,2026-08-30T01:14:35.999Z,2026-08-30T03:22:59.706Z,2.14,7,3.271,4
8dbe5efd,.claude,4bc398e27c03,2026-08-26T17:49:52.934Z,2026-08-26T19:39:46.498Z,1.832,7,3.822,5
3d1a5750,.claude,59d3b5bc76fa,2026-08-26T19:58:00.999Z,2026-08-26T21:47:10.325Z,1.819,7,3.848,5
b98a5654,.claude,cf05c8e17c0d,2026-08-27T17:57:18.498Z,2026-08-27T19:48:42.540Z,1.857,7,3.77,5
1e9cfdf2,.claude,59d3b5bc76fa,2026-08-26T19:55:11.321Z,2026-08-26T22:08:39.776Z,2.225,7,3.147,5
8f7f1fcd,.claude,00894aa8444e,2026-08-20T17:06:01.614Z,2026-08-21T03:00:10.250Z,9.902,7,0.707,5
ffb844d7,.claude,34f3b061b398,2026-09-09T19:35:31.771Z,2026-09-09T22:37:15.603Z,3.029,6,1.981,4
e6844754,.claude,47eda50b77ea,2026-09-10T21:55:28.301Z,2026-09-11T15:05:17.396Z,17.164,6,0.35,3
f222368d,.claude,33b50e00a21d,2026-09-10T23:34:59.480Z,2026-09-11T01:51:07.574Z,2.269,6,2.644,4
20c381b2,.claude1,6878634ccb46,2026-08-28T12:10:42.885Z,2026-08-28T13:59:55.976Z,1.82,6,3.296,4
b42dbc12,.claude,a37f7e62110c,2026-08-30T02:51:10.625Z,2026-09-02T16:25:14.467Z,85.568,6,0.07,3
e58a8ddd,.claude,3af77646db40,2026-09-01T19:27:42.923Z,2026-09-02T01:21:52.365Z,5.903,6,1.016,3
00ef67f9,.claude,6cf6449c7790,2026-08-29T02:33:47.139Z,2026-08-30T03:16:51.441Z,24.718,6,0.243,3
bd22fdf3,.claude,0aa75aebe3a2,2026-08-22T16:05:23.656Z,2026-08-22T18:15:57.797Z,2.176,6,2.757,4
733a7296,.claude,59d3b5bc76fa,2026-08-22T15:47:50.474Z,2026-08-22T17:14:43.611Z,1.448,6,4.143,5
66596bfe,.claude,59d3b5bc76fa,2026-08-22T15:47:48.255Z,2026-08-22T17:36:30.414Z,1.812,6,3.312,4
c9a789b4,.claude,fd3b8661c9b1,2026-08-20T17:15:13.100Z,2026-08-21T15:04:15.751Z,21.817,6,0.275,4
8e6aa88f,.claude,39aad9b99d36,2026-09-02T19:50:39.482Z,2026-09-03T02:56:13.099Z,7.093,6,0.846,3
81c25a0b,.claude,fd3b8661c9b1,2026-08-21T05:49:15.528Z,2026-08-21T07:01:23.714Z,1.202,6,4.991,5
9d635651,.claude,59d3b5bc76fa,2026-08-26T14:56:33.247Z,2026-08-26T17:56:02.016Z,2.991,6,2.006,5
568225c1,.claude,00894aa8444e,2026-08-21T23:53:53.379Z,2026-08-22T01:54:15.540Z,2.006,6,2.991,4
99182167,.claude,59d3b5bc76fa,2026-08-22T17:33:33.709Z,2026-08-26T04:26:15.222Z,82.878,6,0.072,4
a596c4d5,.claude,59d3b5bc76fa,2026-08-26T19:25:12.467Z,2026-08-26T21:15:39.738Z,1.841,6,3.259,4
1d53d03a,.claude,4512c8888925,2026-09-06T20:01:12.485Z,2026-09-06T22:00:13.883Z,1.984,5,2.521,4
859b85fa,.claude,2e59615db516,2026-09-11T15:28:10.052Z,2026-09-14T14:30:48.098Z,71.044,5,0.07,4
944c7c09,.claude1,f371b39222a6,2026-09-07T19:42:10.773Z,2026-09-07T22:55:28.973Z,3.222,5,1.552,3
1154826e,.claude,59d3b5bc76fa,2026-09-10T23:35:02.905Z,2026-09-11T14:26:11.845Z,14.852,5,0.337,2
fe45b9cc,.claude1,9f941fbfe9f1,2026-08-30T22:10:03.606Z,2026-08-31T00:02:55.008Z,1.881,5,2.658,4
9ce269d9,.claude1,914448b816f3,2026-08-30T22:17:13.040Z,2026-08-31T15:23:22.891Z,17.103,5,0.292,4
f010a47e,.claude,b3596cad85e9,2026-08-28T14:56:55.443Z,2026-08-29T00:52:39.629Z,9.929,5,0.504,3
f08595a5,.claude1,6878634ccb46,2026-08-28T08:37:04.557Z,2026-08-28T10:32:49.080Z,1.929,5,2.592,4
e6570c0b,.claude,59d3b5bc76fa,2026-08-19T00:39:19.667Z,2026-08-19T09:52:54.082Z,9.226,5,0.542,3
b1dd64d8,.claude,cf05c8e17c0d,2026-08-26T22:14:33.626Z,2026-08-27T00:51:24.001Z,2.614,5,1.913,4
7809fc41,.claude,da4c1e271e3f,2026-08-29T01:37:07.552Z,2026-08-29T15:15:59.046Z,13.648,5,0.366,4
0e921fe5,.claude1,29cd3ddd534c,2026-08-26T15:35:48.582Z,2026-08-26T17:55:28.244Z,2.328,5,2.148,3
aa1a9597,.claude,da4c1e271e3f,2026-08-29T16:07:53.240Z,2026-08-29T18:26:59.888Z,2.319,5,2.157,5
fd60ebe0,.claude,59d3b5bc76fa,2026-08-26T20:53:24.691Z,2026-08-26T22:01:33.899Z,1.136,5,4.402,5
24803e61,.claude,a63e575cd2e2,2026-08-26T19:37:57.727Z,2026-08-26T20:53:25.928Z,1.258,5,3.975,5
31cc58e6,.claude,59d3b5bc76fa,2026-08-26T12:45:33.765Z,2026-08-26T14:59:51.335Z,2.238,5,2.234,4
239a1cde,.claude,59d3b5bc76fa,2026-08-23T20:49:59.158Z,2026-08-23T22:05:08.275Z,1.253,5,3.992,5
b7a2a1bc,.claude,59d3b5bc76fa,2026-08-30T16:30:23.631Z,2026-08-30T19:23:40.410Z,2.888,5,1.731,3
6d311bc4,.claude,59d3b5bc76fa,2026-08-26T21:54:22.314Z,2026-08-27T01:53:48.593Z,3.991,5,1.253,4
76444e56,.claude,3ee4b6730466,2026-08-28T17:07:05.284Z,2026-08-29T00:52:38.994Z,7.759,4,0.516,2
19d766fb,.claude,73296310b17a,2026-09-10T19:33:33.491Z,2026-09-10T22:04:18.536Z,2.513,4,1.592,3
7ec6fb5e,.claude,69adc1a55965,2026-09-04T02:50:26.469Z,2026-09-04T05:01:27.897Z,2.184,4,1.832,3
0178371a,.claude,1bfcedb1f792,2026-09-14T20:23:31.256Z,2026-09-14T20:42:56.812Z,0.324,4,12.355,4
15d3e953,.claude1,7bd0224cb9fa,2026-08-30T20:52:19.851Z,2026-08-30T22:44:31.745Z,1.87,4,2.139,3
773dc050,.claude,59d3b5bc76fa,2026-09-01T23:03:58.250Z,2026-09-02T01:21:38.956Z,2.295,4,1.743,3
ebf49943,.claude,bf7d0894f1f6,2026-08-30T22:40:59.118Z,2026-08-31T00:30:42.341Z,1.829,4,2.187,4
c28f4080,.claude,00894aa8444e,2026-08-22T01:50:12.592Z,2026-08-22T03:45:12.677Z,1.917,4,2.087,3
7b7d3d66,.claude,59d3b5bc76fa,2026-08-30T05:51:16.167Z,2026-08-30T07:15:30.759Z,1.404,4,2.849,4
69bccd87,.claude,54ca74b41d6f,2026-08-31T01:22:30.733Z,2026-08-31T04:39:06.453Z,3.277,4,1.221,2
